lsoa21_code,lsoa21_name,pop2021
E01000001, City of London 001A,2284
E01000002, City of London 001B,1347
E01000003, City of London 001C,1066
E01000005, City of London 001E,1321
E01000006, Barking and Dagenham 016A,1954
E01000007, Barking and Dagenham 015A,2266
E01000008, Barking and Dagenham 015B,1603
E01000009, Barking and Dagenham 016B,1966
E01000011, Barking and Dagenham 016C,1623
E01000012, Barking and Dagenham 015D,1896
E01000013, Barking and Dagenham 013A,1733
E01000014, Barking and Dagenham 013B,1457
E01000015, Barking and Dagenham 009A,1303
E01000016, Barking and Dagenham 009B,1244
E01000017, Barking and Dagenham 009C,1002
E01000018, Barking and Dagenham 009D,2161
E01000019, Barking and Dagenham 023A,2303
E01000020, Barking and Dagenham 023B,1204
E01000021, Barking and Dagenham 008A,1330
E01000022, Barking and Dagenham 008B,1485
E01000024, Barking and Dagenham 008D,1844
E01000025, Barking and Dagenham 008E,1260
E01000027, Barking and Dagenham 001A,1035
E01000028, Barking and Dagenham 001B,1257
E01000029, Barking and Dagenham 001C,1361
E01000030, Barking and Dagenham 001D,2158
E01000031, Barking and Dagenham 002A,1823
E01000032, Barking and Dagenham 002B,1669
E01000033, Barking and Dagenham 006A,1765
E01000034, Barking and Dagenham 003A,1213
E01000035, Barking and Dagenham 010A,1267
E01000036, Barking and Dagenham 010B,1790
E01000037, Barking and Dagenham 003B,1893
E01000038, Barking and Dagenham 003C,1825
E01000039, Barking and Dagenham 003D,1294
E01000040, Barking and Dagenham 019A,1382
E01000041, Barking and Dagenham 017A,1911
E01000042, Barking and Dagenham 017B,2168
E01000043, Barking and Dagenham 019B,1395
E01000044, Barking and Dagenham 016D,1428
E01000045, Barking and Dagenham 017C,1715
E01000046, Barking and Dagenham 017D,1635
E01000049, Barking and Dagenham 021C,1501
E01000050, Barking and Dagenham 019C,2854
E01000051, Barking and Dagenham 021D,1290
E01000052, Barking and Dagenham 019D,1399
E01000053, Barking and Dagenham 020A,1934
E01000054, Barking and Dagenham 018A,1692
E01000055, Barking and Dagenham 018B,1656
E01000056, Barking and Dagenham 018C,1871
E01000057, Barking and Dagenham 012A,1616
E01000058, Barking and Dagenham 018D,1303
E01000059, Barking and Dagenham 013C,1505
E01000060, Barking and Dagenham 006B,1098
E01000061, Barking and Dagenham 006C,1683
E01000062, Barking and Dagenham 006D,1395
E01000063, Barking and Dagenham 004A,1943
E01000064, Barking and Dagenham 006E,1835
E01000065, Barking and Dagenham 007A,1924
E01000066, Barking and Dagenham 011A,2017
E01000067, Barking and Dagenham 011B,1320
E01000068, Barking and Dagenham 016E,1724
E01000069, Barking and Dagenham 011C,1776
E01000070, Barking and Dagenham 011D,1265
E01000071, Barking and Dagenham 011E,1659
E01000072, Barking and Dagenham 017E,1604
E01000073, Barking and Dagenham 012B,1620
E01000074, Barking and Dagenham 012C,1225
E01000075, Barking and Dagenham 012D,1544
E01000076, Barking and Dagenham 012E,1492
E01000077, Barking and Dagenham 008F,1472
E01000078, Barking and Dagenham 007B,1490
E01000079, Barking and Dagenham 009E,1397
E01000080, Barking and Dagenham 007C,1104
E01000081, Barking and Dagenham 007D,1519
E01000082, Barking and Dagenham 007E,1568
E01000083, Barking and Dagenham 007F,1383
E01000084, Barking and Dagenham 013D,1478
E01000085, Barking and Dagenham 013E,1734
E01000086, Barking and Dagenham 013F,1507
E01000087, Barking and Dagenham 020B,1439
E01000088, Barking and Dagenham 020C,1206
E01000089, Barking and Dagenham 020D,1754
E01000090, Barking and Dagenham 020E,2094
E01000091, Barking and Dagenham 022A,1956
E01000093, Barking and Dagenham 022B,2221
E01000094, Barking and Dagenham 022C,1441
E01000095, Barking and Dagenham 018E,1786
E01000096, Barking and Dagenham 022D,1502
E01000097, Barking and Dagenham 023C,1574
E01000098, Barking and Dagenham 023D,1523
E01000099, Barking and Dagenham 023E,1969
E01000100, Barking and Dagenham 004B,1970
E01000101, Barking and Dagenham 004C,1764
E01000102, Barking and Dagenham 007G,1486
E01000103, Barking and Dagenham 014A,1615
E01000104, Barking and Dagenham 014B,1756
E01000105, Barking and Dagenham 014C,1749
E01000106, Barking and Dagenham 014D,1936
E01000107, Barking and Dagenham 010C,2378
E01000108, Barking and Dagenham 010D,1948
E01000110, Barking and Dagenham 002C,1505
E01000111, Barking and Dagenham 002D,1626
E01000112, Barking and Dagenham 002E,1656
E01000113, Barking and Dagenham 002F,1606
E01000114, Barking and Dagenham 004E,1578
E01000115, Barnet 009A,1178
E01000116, Barnet 009B,1497
E01000117, Barnet 010A,1344
E01000118, Barnet 010B,1422
E01000119, Barnet 009C,1392
E01000120, Barnet 009D,1956
E01000121, Barnet 010C,1465
E01000122, Barnet 009E,2031
E01000123, Barnet 010D,1608
E01000124, Barnet 010E,1791
E01000126, Barnet 026A,1250
E01000127, Barnet 024B,1417
E01000128, Barnet 024C,1249
E01000129, Barnet 024D,1223
E01000130, Barnet 021A,2845
E01000131, Barnet 024E,1455
E01000132, Barnet 021B,1573
E01000133, Barnet 021C,1220
E01000134, Barnet 024F,1897
E01000135, Barnet 038A,1871
E01000136, Barnet 038B,1563
E01000137, Barnet 041A,1347
E01000138, Barnet 040A,1292
E01000139, Barnet 041B,1548
E01000140, Barnet 041C,1470
E01000141, Barnet 039A,1646
E01000142, Barnet 040B,1688
E01000143, Barnet 041D,1251
E01000144, Barnet 038C,1399
E01000145, Barnet 037A,1466
E01000146, Barnet 038D,1680
E01000147, Barnet 043F,1212
E01000150, Barnet 036A,1387
E01000151, Barnet 026B,1199
E01000152, Barnet 026C,1816
E01000153, Barnet 026D,1389
E01000154, Barnet 026E,1379
E01000156, Barnet 022A,1397
E01000157, Barnet 022B,2565
E01000158, Barnet 015A,1622
E01000159, Barnet 015B,1243
E01000160, Barnet 015C,1444
E01000161, Barnet 015D,1550
E01000162, Barnet 015E,2078
E01000163, Barnet 022C,1397
E01000164, Barnet 022D,1385
E01000165, Barnet 022E,1601
E01000166, Barnet 003A,1521
E01000167, Barnet 002A,1364
E01000168, Barnet 003B,1335
E01000169, Barnet 003C,1356
E01000170, Barnet 006A,1132
E01000171, Barnet 006B,1490
E01000172, Barnet 003D,1419
E01000173, Barnet 006C,1363
E01000174, Barnet 006D,1369
E01000175, Barnet 006E,2133
E01000176, Barnet 027A,1622
E01000177, Barnet 029A,1366
E01000178, Barnet 027B,1596
E01000179, Barnet 029B,1091
E01000180, Barnet 029C,1365
E01000181, Barnet 029D,2436
E01000182, Barnet 029E,1199
E01000183, Barnet 033A,1377
E01000184, Barnet 027C,2938
E01000185, Barnet 029F,1746
E01000186, Barnet 014A,1243
E01000187, Barnet 014B,1039
E01000188, Barnet 014C,1122
E01000189, Barnet 014D,1806
E01000190, Barnet 014E,1600
E01000191, Barnet 014F,1588
E01000192, Barnet 018A,1504
E01000193, Barnet 018B,1364
E01000194, Barnet 018C,1531
E01000195, Barnet 013A,1478
E01000196, Barnet 028A,1439
E01000197, Barnet 023A,1404
