Month,Longitude,Latitude,Crime type
2021-01,-0.170997,51.548799,Theft from the person
2021-01,-0.164452,51.548355,Theft from the person
2021-01,-0.163986,51.549894,Theft from the person
2021-01,-0.198162,51.542798,Theft from the person
2021-01,-0.167239,51.542886,Theft from the person
2021-01,-0.170448,51.543062,Theft from the person
2021-01,-0.132403,51.543101,Theft from the person
2021-01,-0.193072,51.542792,Theft from the person
2021-01,-0.196449,51.544535,Theft from the person
2021-01,-0.17876,51.54222,Theft from the person
2021-01,-0.175916,51.5441,Theft from the person
2021-01,-0.175164,51.543432,Theft from the person
2021-01,-0.174124,51.542741,Theft from the person
2021-01,-0.17422,51.543939,Theft from the person
2021-01,-0.144946,51.542113,Theft from the person
2021-01,-0.15269,51.537856,Theft from the person
2021-01,-0.150618,51.538803,Theft from the person
2021-01,-0.141457,51.541752,Theft from the person
2021-01,-0.141457,51.541752,Theft from the person
2021-01,-0.139091,51.541777,Theft from the person
2021-01,-0.133524,51.536851,Theft from the person
2021-01,-0.191139,51.536971,Theft from the person
2021-01,-0.193109,51.538215,Theft from the person
2021-01,-0.191139,51.536971,Theft from the person
2021-01,-0.193577,51.538762,Theft from the person
2021-01,-0.191139,51.536971,Theft from the person
2021-01,-0.194814,51.542117,Theft from the person
2021-01,-0.187659,51.540011,Theft from the person
2021-01,-0.142998,51.539681,Theft from the person
2021-01,-0.144316,51.540592,Theft from the person
2021-01,-0.142012,51.537318,Theft from the person
2021-01,-0.14198,51.538109,Theft from the person
2021-01,-0.142847,51.524607,Theft from the person
2021-01,-0.139304,51.525235,Theft from the person
2021-01,-0.145326,51.525339,Theft from the person
2021-01,-0.139304,51.525235,Theft from the person
2021-01,-0.139304,51.525235,Theft from the person
2021-01,-0.138344,51.525084,Theft from the person
2021-01,-0.142847,51.524607,Theft from the person
2021-01,-0.140347,51.537148,Theft from the person
2021-01,-0.140347,51.537148,Theft from the person
2021-01,-0.140599,51.537323,Theft from the person
2021-01,-0.138823,51.534912,Theft from the person
2021-01,-0.146607,51.536375,Theft from the person
2021-01,-0.135145,51.535285,Theft from the person
2021-01,-0.124496,51.530565,Theft from the person
2021-01,-0.123643,51.530264,Theft from the person
2021-01,-0.123643,51.530264,Theft from the person
2021-01,-0.123643,51.530264,Theft from the person
2021-01,-0.126699,51.533442,Theft from the person
2021-01,-0.126375,51.531512,Theft from the person
2021-01,-0.130285,51.532852,Theft from the person
2021-01,-0.132099,51.531514,Theft from the person
2021-01,-0.129374,51.530445,Theft from the person
2021-01,-0.131558,51.528169,Theft from the person
2021-01,-0.131558,51.528169,Theft from the person
2021-01,-0.131558,51.528169,Theft from the person
2021-01,-0.131558,51.528169,Theft from the person
2021-01,-0.142536,51.527992,Theft from the person
2021-01,-0.143761,51.526591,Theft from the person
2021-01,-0.133296,51.528664,Theft from the person
2021-01,-0.134592,51.5273,Theft from the person
2021-01,-0.14216,51.5259,Theft from the person
2021-01,-0.138179,51.527015,Theft from the person
2021-01,-0.133886,51.526587,Theft from the person
2021-01,-0.138046,51.526393,Theft from the person
2021-01,-0.133296,51.528664,Theft from the person
2021-01,-0.135423,51.526369,Theft from the person
2021-01,-0.133296,51.528664,Theft from the person
2021-01,-0.138898,51.528124,Theft from the person
2021-01,-0.143837,51.528984,Theft from the person
2021-01,-0.117294,51.524452,Theft from the person
2021-01,-0.115558,51.524954,Theft from the person
2021-01,-0.120389,51.530868,Theft from the person
2021-01,-0.120179,51.530361,Theft from the person
2021-01,-0.122145,51.530581,Theft from the person
2021-01,-0.122793,51.529908,Theft from the person
2021-01,-0.126924,51.527978,Theft from the person
2021-01,-0.125905,51.527143,Theft from the person
2021-01,-0.12741,51.525252,Theft from the person
2021-01,-0.130717,51.519828,Theft from the person
2021-01,-0.131387,51.522123,Theft from the person
2021-01,-0.133592,51.519676,Theft from the person
2021-01,-0.134487,51.519987,Theft from the person
2021-01,-0.138342,51.522315,Theft from the person
2021-01,-0.13801,51.520196,Theft from the person
2021-01,-0.130187,51.525045,Theft from the person
2021-01,-0.132426,51.525971,Theft from the person
2021-01,-0.126512,51.523943,Theft from the person
2021-01,-0.136706,51.525301,Theft from the person
2021-01,-0.131299,51.526051,Theft from the person
2021-01,-0.129594,51.524388,Theft from the person
2021-01,-0.136706,51.525301,Theft from the person
2021-01,-0.129994,51.526588,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.136933,51.524693,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.138388,51.523664,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.137252,51.523233,Theft from the person
2021-01,-0.137922,51.523423,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.134791,51.521017,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.136795,51.522416,Theft from the person
2021-01,-0.131296,51.523992,Theft from the person
2021-01,-0.134791,51.521017,Theft from the person
2021-01,-0.137027,51.524857,Theft from the person
2021-01,-0.139226,51.523606,Theft from the person
2021-01,-0.137928,51.524682,Theft from the person
2021-01,-0.10964,51.520624,Theft from the person
2021-01,-0.109726,51.519573,Theft from the person
2021-01,-0.114024,51.521971,Theft from the person
2021-01,-0.129686,51.516512,Theft from the person
2021-01,-0.125389,51.519716,Theft from the person
2021-01,-0.129686,51.516512,Theft from the person
2021-01,-0.116966,51.518098,Theft from the person
2021-01,-0.116966,51.518098,Theft from the person
2021-01,-0.121799,51.517977,Theft from the person
2021-01,-0.118955,51.517041,Theft from the person
2021-01,-0.113213,51.521356,Theft from the person
2021-01,-0.125119,51.518201,Theft from the person
2021-01,-0.119656,51.515425,Theft from the person
2021-01,-0.12636,51.51395,Theft from the person
2021-01,-0.097601,51.520699,Theft from the person
2021-01,-0.079613,51.517231,Theft from the person
2021-01,-0.104252,51.516733,Theft from the person
2021-01,-0.112939,51.518231,Theft from the person
2021-01,-0.077364,51.400767,Theft from the person
2021-01,-0.100919,51.398561,Theft from the person
2021-01,-0.0975,51.398137,Theft from the person
2021-01,-0.108446,51.390688,Theft from the person
2021-01,-0.08698,51.39498,Theft from the person
2021-01,-0.109018,51.386911,Theft from the person
2021-01,-0.103551,51.382192,Theft from the person
2021-01,-0.102657,51.378427,Theft from the person
2021-01,-0.098476,51.376336,Theft from the person
2021-01,-0.059829,51.380972,Theft from the person
2021-01,-0.101726,51.373853,Theft from the person
2021-01,-0.101143,51.372665,Theft from the person
2021-01,-0.02278,51.351657,Theft from the person
2021-01,-0.10839,51.343241,Theft from the person
2021-01,-0.015623,51.346113,Theft from the person
2021-01,-0.115004,51.343357,Theft from the person
2021-01,-0.386386,51.548532,Theft from the person
2021-01,-0.37709,51.543063,Theft from the person
2021-01,-0.370465,51.548079,Theft from the person
2021-01,-0.33869,51.535457,Theft from the person
2021-01,-0.340457,51.541561,Theft from the person
2021-01,-0.340457,51.541561,Theft from the person
2021-01,-0.371908,51.538342,Theft from the person
2021-01,-0.355189,51.529323,Theft from the person
2021-01,-0.26774,51.515934,Theft from the person
2021-01,-0.260533,51.52277,Theft from the person
2021-01,-0.269449,51.52979,Theft from the person
2021-01,-0.367978,51.516796,Theft from the person
2021-01,-0.376664,51.508815,Theft from the person
2021-01,-0.256508,51.507387,Theft from the person
2021-01,-0.259921,51.506690999999996,Theft from the person
